build_ms,context,e2e_est_ms,eff_bits_per_dim,method,nominal_bits,pre_rot_ms,pre_sk_ms,score_cosine,score_ms,score_rmse,timing_family,top1_match_pct,top5_match_pct,total_ms
0.0,2048,,16.0,conventional,16,,,1.0,0.035,0.0,cold,100.0,100.0,0.035
0.039,2048,,8.0,conventional,8,,,0.9996665716171265,0.064,0.0002015299687627703,cold,87.5,100.0,0.103
0.037,2048,,4.0,conventional,4,,,0.9148887395858765,0.061,0.003419217886403203,cold,25.0,62.5,0.098
0.036,2048,,3.0,conventional,3,,,0.7989475727081299,0.061,0.007917290553450584,cold,0.0,25.0,0.098
0.037,2048,,2.0,conventional,2,,,0.7955006957054138,0.061,0.023696959018707275,cold,0.0,25.0,0.098
284.779,2048,,8.125,turboquant,8,,,0.9998202323913574,0.819,0.00014651822857558727,cold,100.0,100.0,285.598
21.773,2048,,4.125,turboquant,4,,,0.9755195379257202,0.821,0.0017424292163923383,cold,50.0,87.5,22.594
6.591,2048,,3.125,turboquant,3,,,0.9218394160270691,0.818,0.003251017304137349,cold,37.5,100.0,7.409
2.46,2048,,2.125,turboquant,2,,,0.8045490980148315,0.82,0.005706681404262781,cold,0.0,50.0,3.28
0.455,2048,,8.125,turboquant,8,,,0.9998202323913574,0.836,0.00014651822857558727,steady_state_cached_compile,100.0,100.0,1.291
0.422,2048,,4.125,turboquant,4,,,0.9755195379257202,0.841,0.0017424292163923383,steady_state_cached_compile,50.0,87.5,1.262
0.414,2048,,3.125,turboquant,3,,,0.9218394160270691,0.837,0.003251017304137349,steady_state_cached_compile,37.5,100.0,1.251
0.414,2048,,2.125,turboquant,2,,,0.8045490980148315,0.89,0.005706681404262781,steady_state_cached_compile,0.0,50.0,1.303
286.119,2048,0.082,8.125,turboquant,8,0.019,0.018,0.9998202323913574,0.045,0.00014651822857558727,cold_build_triton_score,100.0,100.0,286.2
21.754,2048,0.081,4.125,turboquant,4,0.018,0.018,0.9755195379257202,0.044,0.0017424292163923383,cold_build_triton_score,50.0,87.5,21.835
6.65,2048,0.092,3.125,turboquant,3,0.023,0.023,0.9218393564224243,0.046,0.003251017304137349,cold_build_triton_score,37.5,100.0,6.742
2.495,2048,0.09,2.125,turboquant,2,0.023,0.023,0.8045490980148315,0.044,0.005706681404262781,cold_build_triton_score,0.0,50.0,2.585
0.417,2048,0.081,8.125,turboquant,8,0.018,0.018,0.9998202323913574,0.045,0.00014651822857558727,steady_state_triton_score,100.0,100.0,0.497
0.416,2048,0.081,4.125,turboquant,4,0.018,0.018,0.9755195379257202,0.045,0.0017424292163923383,steady_state_triton_score,50.0,87.5,0.497
0.476,2048,0.104,3.125,turboquant,3,0.023,0.023,0.9218393564224243,0.058,0.003251017304137349,steady_state_triton_score,37.5,100.0,0.581
0.42,2048,0.08,2.125,turboquant,2,0.018,0.018,0.8045490980148315,0.044,0.005706681404262781,steady_state_triton_score,0.0,50.0,0.499
326.441,2048,0.13,8.125,rotorquant,8,0.041,0.019,0.9936369061470032,0.07,0.0009144304203800857,cold_build_triton_score,87.5,100.0,326.571
57.067,2048,0.133,4.125,rotorquant,4,0.043,0.019,0.9708704948425293,0.071,0.0019227517768740654,cold_build_triton_score,37.5,87.5,57.2
43.128,2048,0.129,3.125,rotorquant,3,0.041,0.019,0.9192808866500854,0.069,0.0033306924160569906,cold_build_triton_score,25.0,62.5,43.257
40.065,2048,0.131,2.125,rotorquant,2,0.042,0.019,0.8030554056167603,0.07,0.005728062242269516,cold_build_triton_score,12.5,37.5,40.196
0.159,2048,0.13,8.125,rotorquant,8,0.042,0.019,0.9936369061470032,0.069,0.0009144304203800857,steady_state_triton_score,87.5,100.0,0.289
0.159,2048,0.13,4.125,rotorquant,4,0.041,0.019,0.9708704948425293,0.07,0.0019227517768740654,steady_state_triton_score,37.5,87.5,0.289
0.159,2048,0.131,3.125,rotorquant,3,0.042,0.019,0.9192808866500854,0.07,0.0033306924160569906,steady_state_triton_score,25.0,62.5,0.289
0.159,2048,0.128,2.125,rotorquant,2,0.041,0.019,0.8030554056167603,0.068,0.005728062242269516,steady_state_triton_score,12.5,37.5,0.288
0.0,4096,,16.0,conventional,16,,,1.0,0.034,0.0,cold,100.0,100.0,0.034
